"","OCC1","OCC2","INC1","INC2","FCOMFORT","REGION","ZIP","AGE1","AGE2","EDUC1","EDUC2","RELAT","HAPPY","GENDER1","GENDER2","Date","L","D","R","MSTAT"
"140","Real Estate                           ","Interior design                ",50000,45000,"Comfortable","Mid West",89141,36,29,"Some college","Some college","Married","Very happy","Male","Female",13346380800,39,33,41,"Married"
"141","System Administrator                  ","Billing Administrator          ",66000,32000,"Comfortable","Mid Atlantic",21788,39,43,"Some college","HS Grad","Married","Happy","Male","Female",13365043200,27,28,42,"Married"
"142","Sales Manager                         ","Assistant                      ",40000,13200,"Comfortable","Mid West",85037,23,18,"HS Grad","Some college","Long-term committed","Very happy","Male","Female",13383705600,43,28,33,"Single"
"143","Professor                             ","Counselor                      ",56000,32000,"Comfortable","New England",1701,34,32,"Doctorate","MA/MS","Long-term committed","Mixed","Male","Female",13307155200,21,25,41,"Single"
"144","Lawyer                                ","Nurse                          ",175000,0,"Comfortable","S East",32804,38,35,"Doctorate","Coll Grad","Married","Unhappy","Male","Female",13386211200,35,26,40,"Married"
"145","correctional officer                  ","fast food manager              ",20000,20000,"Comfortable","S East",31516,27,27,"Some college","Some college","Married","Happy","Male","Female",13382582400,33,30,23,"Married"
"146","computers                             ","health care                    ",85000,31,"Comfortable","New England",2135,28,24,"Coll Grad","MA/MS","Long-term committed","Happy","Male","Female",13304217600,34,28,34,"Single"
"147","Manager                               ","Dental Assistant               ",95000,40000,"Comfortable","Mid Central",67124,53,48,"Coll Grad","Some college","Married","Very unhappy","Male","Female",13388630400,34,21,29,"Married"
"148","Graphic Designer                      ","Janitor                        ",25000,30000,"Comfortable","N. East",15235,26,28,"Some college","HS Grad","Long-term committed","Happy","Male","Female",13358131200,40,28,40,"Single"
"149","programmer                            ","Administrator                  ",12000,45000,"Comfortable","Mid West",84601,29,30,"Coll Grad","Some college","Married","Happy","Male","Female",13337913600,23,30,42,"Married"
"150","Psychotherapist                       ","Realator                       ",60000,50000,"Struggling","Mid West",80124,57,54,"MA/MS","HS Grad","Married","Happy","Male","Female",13343529600,42,39,46,"Married"
"151","Secretary                             ","none                           ",20000,0,"Struggling","S East",32792,23,22,"Some college","Coll Grad","Long-term committed","Mixed","Male","Female",13380595200,38,30,50,"Single"
